County,Population,Anglo,Black,Hispanic,Other,,,,,
Pecos,1.69,4298,521,11826,265,,,,,
Polk,5.13,35528,5554,8272,1905,,,,,
Potter,13.31,55160,12630,54707,10558,,,,,
Presidio,0.86,1176,27,7268,155,,,,,
Rains,1.29,11142,262,1178,314,,,,,
Randall,13.97,98597,3846,31409,5865,,,,,
Reagan,0.39,1267,63,2493,31,,,,,
Real,0.34,2349,25,976,84,,,,,
Red River,1.34,9546,2428,1117,350,,,,,
Reeves,1.48,2537,673,11398,208,,,,,
Refugio,0.75,3059,480,3854,123,,,,,
Roberts,0.10,891,0,90,14,,,,,
Robertson,1.93,10598,4035,4254,365,,,,,
Rockwall,11.17,76980,7461,21075,6188,,,,,
Runnels,1.10,6566,180,4068,150,,,,,
Rusk,6.23,37923,10675,12005,1668,,,,,
Sabine,1.21,10562,842,406,245,,,,,
San Augustine,0.93,6280,2203,654,169,,,,,
San Jacinto,3.18,23102,3351,4589,784,,,,,
San Patricio,6.80,25942,974,39515,1615,,,,,
San Saba,0.64,4014,198,2130,97,,,,,
Schleicher,0.39,1989,31,1831,21,,,,,
Scurry,1.87,9663,816,7935,279,,,,,
Shackelford,0.37,3202,14,407,66,,,,,
Shelby,2.83,17269,4743,5903,410,,,,,
Sherman,0.34,1722,12,1624,32,,,,,
Smith,23.95,133050,42142,54673,9603,,,,,
Somervell,1.03,7583,61,2365,266,,,,,
Starr,6.81,2754,15,65197,182,,,,,
Stephens,1.02,7376,195,2507,153,,,,,
Sterling,0.12,751,13,418,30,,,,,
Stonewall,0.15,1192,37,248,36,,,,,
Sutton,0.46,1653,6,2918,23,,,,,
Swisher,0.82,3757,600,3699,146,,,,,
Tarrant,209.24,906751,327381,678624,179663,,,,,
Taylor,13.78,84802,9864,35957,7197,,,,,
Terrell,0.10,499,6,523,15,,,,,
Terry,1.33,5386,597,7111,164,,,,,
Throckmorton,0.16,1440,9,175,25,,,,,
Titus,3.72,15513,3348,17451,883,,,,,
Tom Green,11.45,60322,4143,46014,4015,,,,,
Travis,125.05,584783,91606,452946,121173,,,,,
Trinity,1.64,13077,1573,1444,322,,,,,
Tyler,2.26,17737,2560,1816,449,,,,,
Upshur,4.45,34737,3939,4312,1539,,,,,
Upton,0.38,1689,47,2046,50,,,,,
Uvalde,2.84,7326,123,20538,394,,,,,
Val Verde,5.29,8168,636,43346,725,,,,,
Van Zandt,5.77,47708,1553,6832,1587,,,,,
Victoria,9.22,39048,5701,44745,2706,,,,,
Walker,7.22,40210,15753,13620,2663,,,,,
Waller,5.63,22600,12082,20430,1185,,,,,
Ward,1.12,4727,518,5685,225,,,,,
Washington,3.73,22890,6635,6775,1006,,,,,
Webb,31.04,8699,582,298516,2580,,,,,
Wharton,4.31,18727,5821,17935,586,,,,,
Wheeler,0.59,3664,130,1952,119,,,,,
Wichita,13.31,83336,13910,27967,7934,,,,,
Wilbarger,1.48,8440,1168,4666,488,,,,,
Willacy,2.63,2312,409,23383,237,,,,,
Williamson,60.92,346493,38759,172544,51359,,,,,
Wilson,5.58,31637,767,22326,1048,,,,,
Winkler,0.82,3233,134,4717,157,,,,,
Wise,7.27,52570,640,17540,1999,,,,,
Wood,4.80,39462,2240,5204,1060,,,,,
Yoakum,0.94,2999,60,6203,124,,,,,
Young,1.98,14948,232,4185,400,,,,,
Zapata,1.68,793,11,15878,68,,,,,
Zavala,1.28,654,34,12057,32,,,,,
